release_date,title,runtime,tagline,vote_average,vote_count,director
11-04-2012,Battleship,131.0,The Battle for Earth Begins at Sea,5.5,2114,Peter Berg
09-06-2015,Jurassic World,124.0,The park is open.,6.5,8662,
25-10-2012,Skyfall,143.0,Think on your sins.,6.9,7604,Sam Mendes
25-06-2004,Spider-Man 2,127.0,There's a hero in all of us.,6.7,4321,Sam Raimi
18-04-2013,Iron Man 3,130.0,Unleash the power behind the armor.,6.8,8806,Shane Black
03-03-2010,Alice in Wonderland,108.0,You're invited to a very important date.,6.4,4645,Tim Burton
24-05-2006,X-Men: The Last Stand,104.0,Take a Stand,6.3,3525,Brett Ratner
20-06-2013,Monsters University,104.0,School never looked this scary.,7.0,3528,Dan Scanlon
19-06-2009,Transformers: Revenge of the Fallen,150.0,Revenge is coming.,6.0,3138,Michael Bay
25-06-2014,Transformers: Age of Extinction,165.0,This is not war. It's extinction.,5.8,3095,Michael Bay
07-03-2013,Oz: The Great and Powerful,130.0,"In Oz, nothing is what it seems",5.7,3530,Sam Raimi
16-04-2014,The Amazing Spider-Man 2,142.0,No more secrets.,6.5,4179,Marc Webb
10-12-2010,TRON: Legacy,125.0,The Game Has Changed.,6.3,2841,Joseph Kosinski
11-06-2011,Cars 2,106.0,Ka-ciao!,5.8,2033,John Lasseter
16-06-2011,Green Lantern,114.0,"In our darkest hour, there will be light.",5.1,2487,Martin Campbell
16-06-2010,Toy Story 3,103.0,No toy gets left behind.,7.6,4597,Lee Unkrich
20-05-2009,Terminator Salvation,115.0,The End Begins.,5.9,2463,McG
01-04-2015,Furious 7,137.0,Vengeance Hits Home,7.3,4176,James Wan
20-06-2013,World War Z,116.0,Remember Philly!,6.7,5560,Marc Forster
15-05-2014,X-Men: Days of Future Past,131.0,"To save the future, they must alter the past",7.5,6032,Bryan Singer
05-05-2013,Star Trek Into Darkness,132.0,Earth Will Fall,7.4,4418,J.J. Abrams
27-02-2013,Jack the Giant Slayer,114.0,Prepare for a giant adventure,5.5,2598,Bryan Singer
10-05-2013,The Great Gatsby,143.0,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3,3769,Baz Luhrmann
19-05-2010,Prince of Persia: The Sands of Time,116.0,Defy the Future,6.2,2317,Mike Newell
11-07-2013,Pacific Rim,131.0,"To Fight Monsters, We Created Monsters",6.7,4794,Guillermo del Toro
28-06-2011,Transformers: Dark of the Moon,154.0,The invasion we always feared. An enemy we never expected.,6.1,3299,Michael Bay
21-05-2008,Indiana Jones and the Kingdom of the Crystal Skull,122.0,The adventure continues . . .,5.7,2495,Steven Spielberg
14-11-2015,The Good Dinosaur,93.0,Little Arms With Big Attitude,6.6,1736,Peter Sohn
21-06-2012,Brave,93.0,Change your fate.,6.7,4641,Brenda Chapman
07-07-2016,Star Trek Beyond,122.0,,6.6,2568,Justin Lin
22-06-2008,WALL·E,98.0,An adventure beyond the ordinar-E.,7.8,6296,Andrew Stanton
08-08-2007,Rush Hour 3,91.0,The Rush Is On!,6.1,783,Brett Ratner
10-10-2009,2012,158.0,We Were Warned.,5.6,4903,Roland Emmerich
04-11-2009,A Christmas Carol,96.0,Season's Greedings,6.6,1095,Robert Zemeckis
04-02-2015,Jupiter Ascending,124.0,Expand your universe.,5.2,2768,Lilly Wachowski
29-06-2016,The Legend of Tarzan,109.0,Human. Nature.,5.5,2430,David Yates
07-12-2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143.0,Evil Has Reigned For 100 Years...,6.7,2629,Andrew Adamson
18-05-2016,X-Men: Apocalypse,144.0,Only the strong will survive,6.4,4721,Bryan Singer
16-07-2008,The Dark Knight,152.0,Why So Serious?,8.2,12002,Christopher Nolan
13-05-2009,Up,96.0,,7.7,6870,Pete Docter
19-03-2009,Monsters vs Aliens,94.0,"When aliens attack, monsters fight back.",6.0,1423,Conrad Vernon
30-04-2008,Iron Man,126.0,Heroes aren't born. They're built.,7.4,8776,Jon Favreau
22-11-2011,Hugo,126.0,One of the most legendary directors of our time takes you on an extraordinary adventure.,7.0,2141,Martin Scorsese
29-06-1999,Wild Wild West,106.0,It's a whole new west.,5.1,1020,Barry Sonnenfeld
01-07-2008,The Mummy: Tomb of the Dragon Emperor,112.0,A New Evil Awakens.,5.2,1387,Rob Cohen
02-08-2016,Suicide Squad,123.0,Worst Heroes Ever,5.9,7458,David Ayer
09-06-2007,Evan Almighty,96.0,A comedy of biblical proportions,5.3,1151,Tom Shadyac
27-05-2014,Edge of Tomorrow,113.0,"Live, Die, Repeat",7.6,4858,Doug Liman
28-07-1995,Waterworld,135.0,Beyond the horizon lies the secret to a new beginning.,5.9,992,Kevin Reynolds
04-08-2009,G.I. Joe: The Rise of Cobra,118.0,"When all else fails, they don't.",5.6,1962,Stephen Sommers
09-06-2015,Inside Out,94.0,Meet the little voices inside your head.,8.0,6560,Pete Docter
07-04-2016,The Jungle Book,106.0,,6.7,2892,Jon Favreau
28-04-2010,Iron Man 2,124.0,"It's not the armor that makes the hero, but the man inside.",6.6,6849,Jon Favreau
30-05-2012,Snow White and the Huntsman,127.0,The Fairytale is Over,5.8,3118,Rupert Sanders
28-05-2014,Maleficent,97.0,Don't believe the fairy tale.,7.0,4496,Robert Stromberg
26-06-2014,Dawn of the Planet of the Apes,130.0,One last chance for peace.,7.3,4410,Matt Reeves
13-02-2015,The Lovers,109.0,Love is longer than life.,4.8,34,Roland Joff\u00e9
06-12-2013,47 Ronin,119.0,For courage. For loyalty. For honor.,5.9,1326,Carl Rinsch
20-03-2014,Captain America: The Winter Soldier,136.0,In heroes we trust.,7.6,5764,Anthony Russo
16-05-2010,Shrek Forever After,93.0,It ain't Ogre... Til it's Ogre,6.0,1959,Mike Mitchell
19-05-2015,Tomorrowland,130.0,Imagine a world where nothing is impossible.,6.2,2846,Brad Bird
24-10-2014,Big Hero 6,102.0,From the creators of Wreck-it Ralph and Frozen,7.8,6135,Chris Williams
01-11-2012,Wreck-It Ralph,108.0,The story of a regular guy just looking for a little wreck-ognition.,7.1,4570,Rich Moore
10-11-2004,The Polar Express,100.0,This holiday season... believe.,6.4,1474,Robert Zemeckis
22-06-2016,Independence Day: Resurgence,120.0,We had twenty years to prepare. So did they.,4.9,2491,Roland Emmerich
05-03-2010,How to Train Your Dragon,98.0,One adventure will change two worlds,7.5,4227,Chris Sanders
02-07-2003,Terminator 3: Rise of the Machines,109.0,The Machines Will Rise.,5.9,2143,Jonathan Mostow
30-07-2014,Guardians of the Galaxy,121.0,All heroes start somewhere.,7.9,9742,James Gunn
05-11-2014,Interstellar,169.0,Mankind was born on Earth. It was never meant to die here.,8.1,10867,Christopher Nolan
14-07-2010,Inception,148.0,Your mind is the scene of the crime.,8.1,13752,Christopher Nolan
29-07-2016,Shin Godzilla,120.0,A god incarnate. A city doomed.,6.5,143,Hideaki Anno
26-11-2012,The Hobbit: An Unexpected Journey,169.0,From the smallest beginnings come the greatest legends.,7.0,8297,Peter Jackson
22-06-2001,The Fast and the Furious,106.0,Live life 1/4 mile at a time.,6.6,3428,Rob Cohen
24-11-2008,The Curious Case of Benjamin Button,166.0,"Life isn't measured in minutes, but in moments.",7.3,3292,David Fincher
24-05-2011,X-Men: First Class,132.0,Witness the moment that will change our world.,7.1,5181,Matthew Vaughn
18-11-2015,The Hunger Games: Mockingjay - Part 2,137.0,The fire will burn forever.,6.6,3984,Francis Lawrence
13-07-2010,The Sorcerer's Apprentice,109.0,It's The Coolest Job Ever.,5.8,1470,Jon Turteltaub
12-05-2006,Poseidon,99.0,Mayday,5.5,583,Wolfgang Petersen
25-05-2016,Alice Through the Looking Glass,113.0,It's time for a little madness.,6.5,1725,James Bobin
17-05-2007,Shrek the Third,93.0,Who's ready for Thirds?,6.0,2278,Chris Miller
25-05-2016,Warcraft,123.0,Two worlds. One home.,6.3,2268,Duncan Jones
23-06-2015,Terminator Genisys,126.0,Reset the future,5.8,3631,Alan Taylor
13-08-2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,Return to magic. Return to hope. Return to Narnia.,6.2,1514,Michael Apted
21-05-2001,Pearl Harbor,183.0,It takes a moment to change history. It takes love to change lives.,6.6,1791,Michael Bay
27-06-2007,Transformers,144.0,Their war. Our world.,6.6,4040,Michael Bay
21-11-2004,Alexander,175.0,The greatest legend of all was real.,5.6,927,Oliver Stone
28-06-2007,Harry Potter and the Order of the Phoenix,138.0,Evil Must Be Confronted.,7.4,5494,David Yates
05-11-2005,Harry Potter and the Goblet of Fire,157.0,Dark And Difficult Times Lie Ahead.,7.5,5608,Mike Newell
01-07-2008,Hancock,92.0,Bad Behavior. Bad Attitude. Real Hero.,6.2,2961,Peter Berg
14-12-2007,I Am Legend,101.0,The last man on Earth is not alone,6.9,4853,Francis Lawrence
13-07-2005,Charlie and the Chocolate Factory,115.0,Willy Wonka is semi-sweet and nuts.,6.7,3624,Tim Burton
22-06-2007,Ratatouille,111.0,He's dying to become a chef.,7.5,4369,Jan Pinkava
10-06-2005,Batman Begins,140.0,Evil fears the knight.,7.5,7359,Christopher Nolan
30-10-2008,Madagascar: Escape 2 Africa,89.0,Still together. Still lost!,6.2,1810,Eric Darnell
20-05-2009,Night at the Museum: Battle of the Smithsonian,105.0,When the lights go off the battle is on.,5.9,1971,Shawn Levy
28-04-2009,X-Men Origins: Wolverine,107.0,Witness the Origin.,6.2,4021,Gavin Hood
05-11-2003,The Matrix Revolutions,129.0,Everything that has a beginning has an end.,6.4,3096,Lilly Wachowski
27-11-2013,Frozen,102.0,Only the act of true love will thaw a frozen heart.,7.3,5295,Chris Buck
15-05-2003,The Matrix Reloaded,138.0,Free your mind.,6.7,3443,Lilly Wachowski
29-10-2013,Thor: The Dark World,112.0,Delve into the darkness,6.8,4755,Alan Taylor
13-05-2015,Mad Max: Fury Road,120.0,What a Lovely Day.,7.2,9427,George Miller
13-05-2009,Angels & Demons,138.0,,6.5,2129,Ron Howard
21-04-2011,Thor,115.0,Two worlds. One hero.,6.6,6525,Kenneth Branagh
21-11-2008,Bolt,98.0,Fully Awesome. Ridonculous. Let It Begin.,6.3,1750,Chris Williams
21-07-2009,G-Force,88.0,The world needs bigger heroes,5.1,510,Hoyt Yeatman
27-03-2012,Wrath of the Titans,99.0,Feel the Wrath,5.5,1431,Jonathan Liebesman
08-05-2012,Dark Shadows,113.0,Every Family Has Its Demons,5.7,2320,Tim Burton
23-07-2015,Mission: Impossible - Rogue Nation,131.0,Desperate Times. Desperate Measures.,7.1,3224,Christopher McQuarrie
11-02-2010,The Wolfman,102.0,When the moon is full the legend comes to life,5.5,549,Joe Johnston
28-10-2007,Bee Movie,91.0,Born to bee wild.,5.7,1171,Steve Hickner
25-05-2011,Kung Fu Panda 2,91.0,Prepare for the Year of Awesomeness!,6.7,1880,Jennifer Yuh Nelson
30-06-2010,The Last Airbender,103.0,"Four nations, one destiny",4.7,1151,M. Night Shyamalan
03-05-2006,Mission: Impossible III,126.0,The Mission Begins 05:05:06.,6.5,2028,J.J. Abrams
27-06-2013,White House Down,131.0,It will start like any other day.,6.4,1891,Roland Emmerich
09-03-2011,Mars Needs Moms,88.0,Mom needs a little space.,5.5,199,Simon Wells
22-10-2006,Flushed Away,85.0,Someone's Going Down,6.0,874,David Bowers
24-09-2015,Pan,111.0,Every legend has a beginning.,5.9,954,Joe Wright
07-02-2014,Mr. Peabody & Sherman,92.0,He's Leaving His Mark On History,6.7,843,Rob Minkoff
13-05-2004,Troy,163.0,For passion. For honor. For destiny. For victory. For love.,6.9,2759,Wolfgang Petersen
06-06-2012,Madagascar 3: Europe's Most Wanted,93.0,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",6.4,1808,Conrad Vernon
17-11-2002,Die Another Day,133.0,He’s never been cooler.,5.8,1092,Lee Tamahori
14-07-2016,Ghostbusters,116.0,Who You Gonna Call?,5.3,2142,Paul Feig
01-07-1998,Armageddon,151.0,The Earth's Darkest Day Will Be Man's Finest Hour,6.4,2482,Michael Bay
03-07-2002,Men in Black II,88.0,Same Planet. New Scum.,6.0,3114,Barry Sonnenfeld
05-11-2007,Beowulf,115.0,Evil breeds pain.,5.5,841,Robert Zemeckis
23-01-2016,Kung Fu Panda 3,95.0,Grab destiny by the rice dumplings.,6.7,1603,Jennifer Yuh Nelson
07-12-2011,Mission: Impossible - Ghost Protocol,133.0,No Plan. No Backup. No Choice.,6.8,3972,Brad Bird
21-11-2012,Rise of the Guardians,97.0,You better believe.,7.1,1922,Peter Ramsey
21-12-2005,Fun with Dick and Jane,90.0,Giving big businesses a run for their money!,5.9,627,Dean Parisot
05-12-2003,The Last Samurai,154.0,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",7.3,1895,Edward Zwick
03-12-2014,Exodus: Gods and Kings,150.0,"Once brothers, now enemies.",5.6,1921,Ridley Scott
06-05-2009,Star Trek,127.0,The future begins.,7.4,4518,J.J. Abrams
01-05-2002,Spider-Man,121.0,With great power comes great responsibility.,6.8,5265,Sam Raimi
12-06-2014,How to Train Your Dragon 2,102.0,The training is over.,7.6,3106,Dean DeBlois
25-02-2016,Gods of Egypt,127.0,The battle for eternity begins,5.3,1277,Alex Proyas
28-07-2005,Stealth,121.0,Fear The Sky,4.9,331,Rob Cohen
05-03-2009,Watchmen,163.0,Justice is coming to all of us.  No matter what we do.,7.0,2811,Zack Snyder
10-07-1998,Lethal Weapon 4,127.0,The faces you love. The action you expect.,6.3,767,Richard Donner
19-06-2003,Hulk,138.0,Unleash the hero within,5.3,1533,Ang Lee
26-03-2013,G.I. Joe: Retaliation,110.0,,5.4,3025,Jon M. Chu
06-04-2005,Sahara,124.0,Dirk Pitt. Adventure has a new name.,5.7,434,Breck Eisner
02-07-2001,Final Fantasy: The Spirits Within,106.0,Unleash a new reality,5.9,433,Hironobu Sakaguchi
22-07-2011,Captain America: The First Avenger,124.0,When patriots become heroes,6.6,7047,Joe Johnston
08-11-1999,The World Is Not Enough,128.0,As the countdown begins for the new millennium there is still one number you can always count on.,6.0,862,Michael Apted
14-11-2003,Master and Commander: The Far Side of the World,138.0,The courage to do the impossible lies in the hearts of men.,6.9,790,Peter Weir
13-11-2012,The Twilight Saga: Breaking Dawn - Part 2,115.0,The epic finale that will live forever,6.1,2553,Bill Condon
17-11-2011,Happy Feet Two,100.0,Every step counts.,5.8,373,George Miller
12-06-2008,The Incredible Hulk,114.0,You'll like him when he's angry.,6.1,3021,Louis Leterrier
01-06-2016,The BFG,120.0,The world is more giant than you can imagine.,6.0,1000,Steven Spielberg
25-12-2015,The Revenant,156.0,"(n. One who has returned, as if from the dead.)",7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
11-07-2013,Turbo,96.0,SLO NO MO,6.1,1074,David Soren
02-03-2011,Rango,107.0,Heroes come in all different colors.,6.6,2051,Gore Verbinski
22-11-2014,Penguins of Madagascar,92.0,The Movie Event That Will Blow Their Cover,6.5,1346,Eric Darnell
03-08-2007,The Bourne Ultimatum,115.0,Remember everything. Forgive nothing.,7.3,2888,Paul Greengrass
04-06-2008,Kung Fu Panda,90.0,Prepare for awesomeness.,6.9,3145,Mark Osborne
14-07-2015,Ant-Man,117.0,Heroes don't get any bigger.,7.0,5880,Peyton Reed
15-11-2013,The Hunger Games: Catching Fire,146.0,Every revolution begins with a spark.,7.4,6495,Francis Lawrence
18-03-2015,Home,94.0,Worlds Collide,6.8,1519,Tim Johnson
28-06-2005,War of the Worlds,116.0,They're already here.,6.2,2322,Steven Spielberg
18-07-2003,Bad Boys II,147.0,"If you can't stand the heat, get out of Miami.",6.3,1564,Michael Bay
28-10-2011,Puss in Boots,90.0,Live for danger. Fight for justice. Pray for mercy.,6.4,451,Chris Miller
21-07-2010,Salt,100.0,Who is Salt?,6.2,2093,Phillip Noyce
20-03-2014,Noah,139.0,The end of the world is just the beginning.,5.6,2350,Darren Aronofsky
25-10-2011,The Adventures of Tintin,107.0,"This year, discover how far adventure will take you.",6.7,2061,Steven Spielberg
31-05-2004,Harry Potter and the Prisoner of Azkaban,141.0,Something wicked this way comes.,7.7,5877,Alfonso Cuar\u00f3n
18-11-2008,Australia,165.0,Welcome to Australia!,6.3,694,Baz Luhrmann
30-05-2013,After Earth,100.0,"Danger is real, fear is a choice",5.0,2532,M. Night Shyamalan
19-05-2000,Dinosaur,82.0,You have never seen anything like this.,6.2,542,Ralph Zondag
17-12-2014,Night at the Museum: Secret of the Tomb,97.0,One Final Night to Save the Day.,6.1,1851,Shawn Levy
28-10-2010,Megamind,95.0,His brain is off the chain.,6.7,1918,Tom McGrath
16-11-2001,Harry Potter and the Philosopher's Stone,152.0,Let the Magic Begin.,7.5,7006,Chris Columbus
18-07-2013,R.I.P.D.,96.0,To protect and serve the living,5.4,1260,Robert Schwentke
09-07-2003,Pirates of the Caribbean: The Curse of the Black Pearl,143.0,Prepare to be blown out of the water.,7.5,6985,Gore Verbinski
18-11-2014,The Hunger Games: Mockingjay - Part 1,123.0,Fire burns brighter in the darkness,6.6,5584,Francis Lawrence
17-05-2006,The Da Vinci Code,149.0,Seek the truth.,6.5,2704,Ron Howard
19-03-2014,Rio 2,102.0,"He's villainous, she's venomous.",6.3,978,Carlos Saldanha
24-04-2003,X2,133.0,The time has come for those who are different to stand united.,6.8,3506,Bryan Singer
20-04-2011,Fast Five,130.0,Get the Fifth Gear.,7.1,2438,Justin Lin
22-11-2011,Sherlock Holmes: A Game of Shadows,129.0,The game is afoot.,7.0,3886,Guy Ritchie
01-04-2010,Clash of the Titans,106.0,Titans will clash.,5.6,2233,Louis Leterrier
01-06-1990,Total Recall,113.0,"They stole his mind, now he wants it back.",7.1,1710,Paul Verhoeven
27-08-1999,The 13th Warrior,102.0,Prey for the living.,6.4,510,John McTiernan
08-08-2012,The Bourne Legacy,120.0,There Was Never Just One,6.0,2651,Tony Gilroy
20-06-1997,Batman & Robin,125.0,Strength. Courage. Honor. And loyalty.,4.2,1418,Joel Schumacher
17-11-2000,How the Grinch Stole Christmas,104.0,He puts the mean in green.,6.2,1386,Ron Howard
26-05-2004,The Day After Tomorrow,124.0,Where will you be?,6.2,2392,
24-05-2000,Mission: Impossible II,123.0,Expect the impossible again.,5.9,1928,John Woo
15-03-2000,The Perfect Storm,130.0,The storm is coming.,6.2,597,Wolfgang Petersen
13-06-2007,Fantastic 4: Rise of the Silver Surfer,92.0,Discover the secret of the Surfer.,5.4,2589,Tim Story
20-11-2012,Life of Pi,127.0,Believe The Unbelievable,7.2,5797,Ang Lee
16-02-2007,Ghost Rider,114.0,Hell Is About To Be Unleashed,5.2,1712,Mark Steven Johnson
27-07-2016,Jason Bourne,123.0,You know his name,5.9,2341,Paul Greengrass
27-06-2003,Charlie's Angels: Full Throttle,106.0,This summer the Angels are back.,5.2,914,McG
30-05-2012,Prometheus,124.0,The Search for Our Beginning Could Lead to Our End.,6.3,5080,Ridley Scott
19-07-2002,Stuart Little 2,78.0,A Little Goes A Long Way,5.4,613,Rob Minkoff
07-08-2013,Elysium,109.0,He can save us all.,6.4,3439,Neill Blomkamp
11-06-2004,The Chronicles of Riddick,119.0,All the power in the universe can't change destiny,6.3,1570,David Twohy
30-01-2014,RoboCop,102.0,We've got the future under control.,5.7,2342,Jos\u00e9 Padilha
09-05-2008,Speed Racer,135.0,Go!,5.7,354,Lilly Wachowski
17-12-2010,How Do You Know,121.0,How do you know it's love?,4.9,223,James L. Brooks
15-06-2010,Knight and Day,109.0,Every Hit Man Deserves a Second Shot!,5.9,1547,James Mangold
10-04-2013,Oblivion,124.0,Earth is a memory worth fighting for,6.4,4800,Joseph Kosinski
17-05-2005,Star Wars: Episode III - Revenge of the Sith,140.0,The saga is complete.,7.1,4116,George Lucas
15-05-2002,Star Wars: Episode II - Attack of the Clones,142.0,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,6.4,3992,George Lucas
01-11-2001,"Monsters, Inc.",92.0,We Scare Because We Care.,7.5,5996,
23-07-2013,The Wolverine,126.0,"When he's most vulnerable, he's most dangerous.",6.3,4053,James Mangold
19-05-1999,Star Wars: Episode I - The Phantom Menace,136.0,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,6.3,4432,George Lucas
20-03-2013,The Croods,98.0,Meet the first modern family.,6.8,2399,Chris Sanders
13-01-2008,Asterix at the Olympic Games,116.0,,5.0,471,Thomas Langmann
14-06-2002,Windtalkers,134.0,Honor Was Their Code.,5.8,341,John Woo
06-04-2016,The Huntsman: Winter's War,114.0,The story before Snow White,6.0,1523,Cedric Nicolas-Troyan
07-08-2014,Teenage Mutant Ninja Turtles,101.0,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,5.8,2636,Jonathan Liebesman
27-09-2013,Gravity,91.0,Don't Let Go,7.3,5751,Alfonso Cuar\u00f3n
07-02-1997,Dante's Peak,108.0,The pressure is building...,5.7,428,Roger Donaldson
01-06-2016,Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,Raise some shell.,5.8,963,Dave Green
05-08-2015,Fantastic Four,100.0,Change is coming.,4.4,2278,Josh Trank
20-10-2006,Night at the Museum,108.0,Where History Comes To Life,6.3,2862,Shawn Levy
27-05-2015,San Andreas,114.0,"A rescue pilot survived an earthquake, this is what happens next",6.0,2968,Brad Peyton
11-12-1997,Tomorrow Never Dies,119.0,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,6.0,925,Roger Spottiswoode
28-06-2000,The Patriot,165.0,Some things are worth fighting for.,6.8,1099,Roland Emmerich
09-12-2004,Ocean's Twelve,125.0,Twelve is the new eleven.,6.4,2124,Steven Soderbergh
07-06-2005,Mr. & Mrs. Smith,120.0,Smart and sexy.,6.5,2965,Doug Liman
18-03-2015,Insurgent,119.0,One Choice Can Destroy You,6.2,3829,Robert Schwentke
17-12-2004,The Aviator,170.0,"For some men, the sky was the limit. For him, it was just the beginning.",7.0,1489,Martin Scorsese
25-12-2010,Gulliver's Travels,85.0,Something big is going down.,4.9,621,Rob Letterman
12-01-2011,The Green Hornet,119.0,Breaking the Law to Protect It.,5.5,1251,Michel Gondry
05-03-2014,300: Rise of an Empire,102.0,Seize your glory!,6.1,2397,Noam Murro
29-07-2011,The Smurfs,103.0,Smurf Happens.,5.5,1179,Raja Gosnell
02-04-2004,Home on the Range,76.0,Bust a Moo,5.7,389,Will Finn
09-03-2016,Allegiant,121.0,Break the boundaries of your world,5.9,1998,Robert Schwentke
28-09-2011,Real Steel,127.0,"If you get one shot, make it real.",6.6,2692,Shawn Levy
30-07-2013,The Smurfs 2,105.0,Get ready to get naughty!,5.5,695,Raja Gosnell
13-06-1997,Speed 2: Cruise Control,121.0,"As the stakes get higher, the ride gets even faster.",4.1,434,Jan de Bont
23-10-2013,Ender's Game,114.0,This is not a game.,6.6,2303,Gavin Hood
20-06-2007,Live Free or Die Hard,128.0,The old school cop is back!,6.4,2089,Len Wiseman
18-12-2001,The Lord of the Rings: The Fellowship of the Ring,178.0,One ring to rule them all,8.0,8705,Peter Jackson
16-06-2004,Around the World in 80 Days,120.0,Let your imagination soar.,5.7,672,Frank Coraci
11-12-2001,Ali,157.0,Float like a butterfly and sting like a bee.,6.7,447,Michael Mann
21-11-2003,The Cat in the Hat,82.0,Don't mess with the hat.,4.9,366,Bo Welch
15-07-2004,"I, Robot",115.0,Laws are made to be broken.,6.7,3793,Alex Proyas
03-05-2005,Kingdom of Heaven,144.0,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",6.6,1157,Ridley Scott
17-12-1999,Stuart Little,84.0,The Little Family Just Got Bigger,5.8,959,Rob Minkoff
08-12-2009,The Princess and the Frog,97.0,Every Love Story Begins With a Kiss...,6.7,1247,Ron Clements
30-09-2015,The Martian,141.0,Bring Him Home,7.6,7268,Ridley Scott
20-07-2005,The Island,136.0,Your time will come...,6.5,1770,Michael Bay
27-04-2001,Town & Country,104.0,There's no such thing as a small affair.,3.7,16,Peter Chelsom
09-06-2000,Gone in Sixty Seconds,118.0,"Ice Cold, Hot Wired.",6.1,1485,Dominic Sena
01-05-2000,Gladiator,155.0,A Hero Will Rise.,7.9,5439,Ridley Scott
20-06-2002,Minority Report,145.0,The system is perfect until it comes after you.,7.1,2608,Steven Spielberg
13-11-2002,Harry Potter and the Chamber of Secrets,161.0,Hogwarts is back in session.,7.4,5815,Chris Columbus
14-11-2006,Casino Royale,144.0,Everyone has a past. Every legend has a beginning.,7.3,3855,Martin Campbell
25-07-2001,Planet of the Apes,119.0,You'll be sorry you were ever born human,5.6,1243,Tim Burton
01-07-1991,Terminator 2: Judgment Day,137.0,It's nothing personal.,7.7,4185,James Cameron
01-07-2009,Public Enemies,140.0,America's Most Wanted.,6.5,1344,Michael Mann
02-11-2007,American Gangster,157.0,There are two sides to the American dream,7.4,1502,Ridley Scott
14-07-1994,True Lies,141.0,"When he said I do, he never said what he did.",6.8,1116,James Cameron
11-06-2009,The Taking of Pelham 1 2 3,106.0,I can't get it out of my head. I'm gonna die today.,6.2,954,Tony Scott
21-12-2010,Little Fockers,98.0,"Kids bring everyone closer, right?",5.4,1060,Paul Weitz
06-08-2010,The Other Guys,107.0,When the cops are busy... Our only hope is...,6.1,1383,Adam McKay
